    GeneID	GSM8021754	GSM8021757	GSM8021758	GSM8021759	GSM8021760	GSM8021761	GSM8021762	GSM8021764	GSM8021765	GSM8021767	GSM8021769	GSM8021772	GSM8021773	GSM8021774	GSM8021775
101929286	0.5142	0	0.4414	0	0.0739	4.469	0	0	0.04977	0	0.06429	0	0	0.139	0
105378369	0.0505	0.2609	0.1022	1.683	0.02177	0.5809	0.6852	0	0.03665	0.0333	0.1515	0.0537	0.6679	0.01024	0.2276
105378372	0	0.5815	0	0	0	0	0.4455	0	0.9294	0	0.7388	0	0.1861	0	0.9247
9231	1.092	2.668	1.74	4.098	14.18	4.811	3.662	14.24	8.351	12.64	4.473	6.957	9.528	8.267	6.563
101929347	2.164	1.278	1.168	2.993	0	0	6.265	0	0	0	0.2165	0	3.707	0	1.951
100128292	0.5614	1.098	0.5163	1.976	0.3933	0.8611	5.333	0.6722	0.3464	0.2159	0.2895	0.4478	0.4243	0	0.1054
11128	4.592	7.651	5.332	8.439	9.74	6.626	5.616	8.519	5.463	7.779	4.969	6.085	6.239	5.866	8.123
6229	1024	1053	746.5	733.4	1098	1033	1253	903.4	716.9	642.1	967.8	608.6	693.3	521.6	724
105378373	0.05701	0	0.2517	0.4224	0.04916	0	0	0	0.149	0	0.3849	0.02425	0	0	0.04282
105378374	0.01745	0.09786	0.07061	1.525	0.03009	0.562	0.3473	0.006964	0.05066	0	0.03272	0	0.7649	0.01415	0.1835
105378375	0	0	0.2561	0	0	0	2.267	0	0.2021	0	0.5223	0	2.42	0	0.9413
100132987	0	0.1109	0	1.002	0.09719	0	0.1359	0.15	0	0.09909	0	0.03196	0.1704	0.1524	0.2822
414243	0	0.7986	0	2.915	0.106	0	5.785	0	0	0	0	0	1.673	0	0
107984245	0.05075	0.1423	0.2614	1.73	0	0.01946	0	0.08103	0.01474	0	0.3617	0.1187	0.2493	0	0.324
105378378	0	0.06567	0.02728	3.406	0	0.2275	4.159	0	0.02153	0	0.05563	0.0631	1.177	0	0.0557
107984246	0	0.4346	0.1805	8.725	0	0	0	0	0	0	0.7363	0	0	0	0
105378379	0	0.3651	0.1241	1.666	0	0.6899	0	0	0	0	0.1687	0	1.36	0	0.08446
283050	0	0.9495	0.3198	1.932	1.574	1.533	5.662	0.9022	0.7825	0.6115	0.9456	0.7766	3.942	0.5641	1.698
112268062	0.1753	0.414	0.258	0	0	0	2.379	0	0.02545	0	0.3288	0.3356	0.8612	0.4977	0.1975
57178	1.012	1.474	0.8821	1.727	8.109	2.429	3.502	13.15	7.537	12.22	2.352	5.736	24.11	13	13.07
107984247	1.803	2.426	1.762	1.927	4.538	5.124	5.135	6.302	6.781	5.251	3.26	3.899	10.99	5.947	7.239
10105	30.96	48.42	61.65	49.83	57.51	43.25	24.57	48.16	46.67	40.48	62.47	49.37	40.35	46.23	40.6
219654	0.1393	1.81	0.8641	1.593	2.146	2.168	2.881	1.573	0.786	1.628	2.404	1.897	1.324	1.017	1.136
105378383	0	0	0.1988	0.7006	0	0	1.956	0	0.07845	0.2673	0.1267	0	0	0.0274	0
